"route","device","before_JS_bytes","after_JS_bytes","before_JS_gzip_bytes","after_JS_gzip_bytes","before_CSS_bytes","after_CSS_bytes","before_API_requests","after_API_requests","before_image_bytes","after_image_bytes","before_overflow","after_overflow","before_broken_images","after_broken_images","after_page_errors"
"/team/disputes/:disputeId","desktop","736322","736474","211093","213969","263661","263662","4","4","17452","17452","false","false","0","0","0"
"/team/disputes/:disputeId","mobile","736322","736474","211093","213969","263661","263662","4","4","17452","17452","false","false","0","0","0"
"/team/sharecards","desktop","815921","816260","240996","243970","319630","319631","3","3","20369","20369","false","false","0","0","0"
"/team/sharecards","mobile","815921","816260","240996","243970","319630","319631","3","3","20369","20369","false","false","0","0","0"
"/team/badges","desktop","781184","738286","226313","215352","374051","368823","3","3","17452","17452","false","false","0","0","0"
"/team/badges","mobile","781184","738286","226313","215352","374051","368823","3","3","17452","17452","false","false","0","0","0"
"/team/badges/:badgeId","desktop","749879","732275","214270","212706","263661","263662","3","3","17452","17452","false","false","0","0","0"
"/team/badges/:badgeId","mobile","749879","732275","214270","212706","263661","263662","3","3","17452","17452","false","false","0","0","0"
"/team/invitations","desktop","749879","732275","214270","212706","263661","263662","4","4","17452","17452","false","false","0","0","0"
"/team/invitations","mobile","749879","732275","214270","212706","263661","263662","4","4","17452","17452","false","false","0","0","0"
"/team/settings/managers","desktop","731322","731442","209713","212574","263661","263662","6","6","17452","17452","false","false","0","0","0"
"/team/settings/managers","mobile","731322","731442","209713","212574","263661","263662","6","6","17452","17452","false","false","0","0","0"
"/team/verification","desktop","749879","732275","214270","212706","263661","263662","4","4","17452","17452","false","false","0","0","0"
"/team/verification","mobile","749879","732275","214270","212706","263661","263662","4","4","17452","17452","false","false","0","0","0"
"/team/organization/:organizationSlug","desktop","749879","732275","214270","212706","263661","263662","5","5","17452","17452","false","false","0","0","0"
"/team/organization/:organizationSlug","mobile","749879","732275","214270","212706","263661","263662","5","5","17452","17452","false","false","0","0","0"
"/team/settings","desktop","727788","727940","208438","211315","263661","263662","4","4","17452","17452","false","false","0","0","0"
"/team/settings","mobile","727788","727940","208438","211315","263661","263662","4","4","17452","17452","false","false","0","0","0"
"/admin","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/tournaments","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/tournaments","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/tournaments/new","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/tournaments/new","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/tournaments/:tournamentId","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/tournaments/:tournamentId","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/tournaments/:tournamentId/lifecycle","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/tournaments/:tournamentId/lifecycle","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/check-ins/missed","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/check-ins/missed","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/teams","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/teams","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/teams/:teamId","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/teams/:teamId","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/organizations","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/organizations","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/results","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/results","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/results/:resultId/correct","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/results/:resultId/correct","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/messages","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/messages","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/blacklist","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/blacklist","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/roster-requests","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/roster-requests","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/roster-requests/:requestId","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/roster-requests/:requestId","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/disputes","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/disputes","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/disputes/:disputeId","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/disputes/:disputeId","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/players/:playerId","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/players/:playerId","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/verifications","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/verifications","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/verifications/:verificationId","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/verifications/:verificationId","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/support","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
